ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-2.5837,-9.975,0.0533,-0.8653,-9.7368,0.7847,-1.6283,-0.444,-1.1656,1.7483,0.7764,0.4874,0.0,20.25,45.5,-6.06,82.31,82.84,155.13,0.0,,,,NaN,,,,0 / 0,5413,2020-12-03 18:33:41:817
-0.5839,-8.4517,1.1436,-1.596,-9.5474,1.5713,0.2179,0.592,-0.2654,0.689,1.1346,0.5119,0.0,24.06,42.88,-8.81,207.03,83.16,47.8,0.0,,,,NaN,,,,0 / 0,5513,2020-12-03 18:33:41:917
-0.5839,-8.4517,1.1436,-2.0073,-9.4342,1.771,0.0133,2.2838,0.9942,0.0757,0.9313,-0.3414,0.0,24.56,42.69,-8.0,222.79,74.16,48.58,0.0,,,,NaN,,,,0 / 0,5613,2020-12-03 18:33:42:017
-3.2962,-8.6364,1.4523,-2.0164,-9.4768,1.5144,0.6457,-0.9379,-0.293,0.015,0.7769,-0.3995,0.0,25.19,43.63,-6.75,217.97,75.1,53.09,0.0,,,,NaN,,,,0 / 0,5714,2020-12-03 18:33:42:118
-3.8132,-14.9622,1.789,-1.8582,-9.5197,1.4461,-1.8758,-5.6692,0.2553,0.015,0.7769,-0.3995,0.0,25.19,43.63,-6.75,217.97,75.1,53.09,0.0,,,,NaN,,,,0 / 0,5813,2020-12-03 18:33:42:217
-1.392,-10.8284,-0.9863,-2.0263,-9.5045,1.3148,0.5078,1.9756,-1.5754,-0.8106,0.3058,0.4613,0.0,25.19,44.0,-6.12,221.12,76.11,52.11,0.0,,,,NaN,,,,0 / 0,5914,2020-12-03 18:33:42:318
-1.392,-10.8284,-0.9863,-2.4741,-9.4828,0.3537,3.2019,1.8877,1.9112,-0.6961,1.3524,0.1222,0.0,28.69,43.19,-0.5,230.56,75.74,57.02,0.0,,,,NaN,,,,0 / 0,6013,2020-12-03 18:33:42:417
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6113,2020-12-03 18:33:42:517
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6400,2020-12-03 18:33:42:804
2.9207,-11.4305,0.2101,-2.4295,-9.5006,-0.0696,2.9877,-0.7841,-0.2932,-0.1654,-1.0825,-0.5373,0.0,28.63,42.31,3.0,203.02,75.24,81.86,0.0,,,,NaN,,,,0 / 0,6401,2020-12-03 18:33:42:805
