sep=;
ACCELEROMETER X (m/s²);ACCELEROMETER Y (m/s²);ACCELEROMETER Z (m/s²);GRAVITY X (m/s²);GRAVITY Y (m/s²);GRAVITY Z (m/s²);LINEAR ACCELERATION X (m/s²);LINEAR ACCELERATION Y (m/s²);LINEAR ACCELERATION Z (m/s²);GYROSCOPE X (rad/s);GYROSCOPE Y (rad/s);GYROSCOPE Z (rad/s);LIGHT (lux);MAGNETIC FIELD X (μT);MAGNETIC FIELD Y (μT);MAGNETIC FIELD Z (μT);ORIENTATION Z (azimuth °);ORIENTATION X (pitch °);ORIENTATION Y (roll °);PROXIMITY (i);ATMOSPHERIC PRESSURE (hPa);SOUND LEVEL (dB);LOCATION Latitude : ;LOCATION Longitude : ;LOCATION Altitude ( m);LOCATION Altitude-google ( m);LOCATION Altitude-atmospheric pressure ( m);LOCATION Speed ( Kmh);LOCATION Accuracy ( m);LOCATION ORIENTATION (°);Satellites in range;Time since start in ms ;YYYY-MO-DD HH-MI-SS_SSS
-2.6002;8.6385;-2.2506;-2.9594;9.2181;-1.5617;0.4048;-0.5221;-0.8063;-0.3228;0.2472;0.0041;0.0;0.18;-42.84;30.84;267.76;-70.05;117.82;0.0;996.82;59.637;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;31052;2020-12-03 17:39:23:133
-0.7207;10.3648;-0.3663;-2.5398;9.4564;-0.5446;2.0155;1.1479;0.0226;-0.2214;-0.0173;-0.1351;0.0;-4.26;-45.54;25.56;247.83;-74.64;102.1;0.0;996.79;63.216;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;31553;2020-12-03 17:39:23:634
-1.5994;9.9554;-1.8077;-2.5614;9.4463;-0.6139;1.7713;0.5953;-0.6862;0.1139;-0.2232;-0.1223;0.0;-1.44;-44.1;27.24;254.24;-74.23;101.96;0.0;996.82;57.045;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;32053;2020-12-03 17:39:24:134
-4.0367;8.1118;-3.6225;-2.8357;8.9235;-2.9153;-1.2011;-0.8117;-0.7072;0.2911;-0.1364;0.0799;0.0;-2.82;-37.56;37.2;283.04;-65.5;135.79;0.0;996.82;54.618;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;32553;2020-12-03 17:39:24:634
-2.0399;9.3065;-2.4326;-2.4273;8.819;-3.536;0.1216;0.2792;0.0882;-0.1933;1.2014;-0.1241;0.0;-12.48;-37.02;34.26;275.72;-64.07;145.53;0.0;996.83;52.16;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;33053;2020-12-03 17:39:25:134
2.3943;8.6888;-4.9705;0.8772;8.5163;-4.7825;1.5171;0.1725;-0.188;0.1561;0.3962;0.5973;0.0;-28.56;-35.64;29.76;298.06;-60.28;-169.61;0.0;996.82;55.921;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;33553;2020-12-03 17:39:25:634
-0.2777;7.9729;-3.3927;-0.2201;8.9577;-3.985;-0.0648;-0.6448;-0.6311;-0.5031;-0.7766;-0.2628;0.0;-20.88;-39.48;26.82;292.1;-64.58;-178.3;0.0;996.82;59.366;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;34053;2020-12-03 17:39:26:134
-3.522;10.0655;-0.3208;-2.6252;9.3837;-1.1065;-0.6717;0.5477;0.3451;-0.4976;-0.6178;-0.4797;1.0;-8.52;-44.04;23.52;245.27;-73.11;112.85;0.0;996.78;56.253;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;34552;2020-12-03 17:39:26:633
-1.3121;8.2291;0.9122;-2.2142;9.5534;-0.0201;0.9022;-1.3243;0.9323;0.8103;-0.9153;0.0774;2.0;-5.04;-47.64;20.34;228.05;-76.01;86.42;0.0;996.76;55.855;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;35053;2020-12-03 17:39:27:134
-4.6617;8.6002;-0.3352;-3.8362;9.0102;0.5193;-1.2971;-0.8721;-0.2846;-0.172;0.4488;-0.1247;1.0;0.72;-44.82;25.26;231.33;-66.75;82.29;0.0;996.8;59.838;55.701355;13.169358;239.35;NaN;;;51.170967;;0 / 4;35553;2020-12-03 17:39:27:634
